Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
49709645215,"Xiaomi Redmi Pad SE 16GB+512GB 11"" | Snapdragon 680 | Pin 8000mAh | Dual SIM | Tặng quà","2,5tr",0,Factory Mobile,13%,₫324.870,https://shopee.vn/product/1557155991/49709645215,https://s.shopee.vn/4LGyNOKWN7
24305566994,"Gậy chụp ảnh 4 chân P185 - Tripod điện thoại livestream, quay phim, chụp ảnh kéo dài 180cm, có remote","329,0k",20k+,Phụ Kiện _18,19%,₫62.510,https://shopee.vn/product/49805212/24305566994,https://s.shopee.vn/4AxYB5L9i6
41903287402,"Xiaomi Vòng đeo tay thông minh Band 10 | AMOLED 1,72"" | Pin 21 ngày - BH 1 năm chính hãng","1,1tr",1k+,Xiaomi Official Store Vietnam,6%,₫65.400,https://shopee.vn/product/1150105706/41903287402,https://s.shopee.vn/40e7ymLn35
41268214972,Apple iPhone 17 Pro 256GB Chính hãng ZP/A,"35,0tr",990,Viettel Store- AAR ,4%,₫1.399.600,https://shopee.vn/product/308461157/41268214972,https://s.shopee.vn/5Aq5MvHLgK
27794294696,Máy tính bảng Xiaomi Pad 8 (8+128GB|8+256GB)| Pin 9200mAh (typ)| Màn hình 3.2K 144Hz| Vi xử lý Snapdragon 8s Gen 4,"11,2tr",477,Xiaomi Official Store,6%,₫671.400,https://shopee.vn/product/1524999479/27794294696,https://s.shopee.vn/50WfAcHz1J
42874449161,"Quạt Cầm Tay Mini T10 Siêu Mát, Với 3 Tốc Độ Gió Làm Giá Đỡ Điện Thoại Lại Pin Khủng Có Thể Sạc Nhiều Màu Sắc","39,0k",10k+,COURT NATURE STORE,29%,₫11.310,https://shopee.vn/product/1632480189/42874449161,https://s.shopee.vn/4qDEyJIcMI
42880344383,2026 Đồng hồ thông minh Honor Choice Watch 2 Pro Màn hình AMOLED 1.97'' Pin đến 14 ngày Theo dõi sức khỏe BH 12 tháng,"1,6tr",3,Wisezen Vietnam,12%,₫190.800,https://shopee.vn/product/1452683839/42880344383,https://s.shopee.vn/4ftom0JFhH
13928850471,Apple iPhone 13 Chính hãng VN/A,"12,6tr",10k+,Viettel Store- AAR ,4%,₫503.600,https://shopee.vn/product/308461157/13928850471,https://s.shopee.vn/5q5mA9EoKW
46603453557,"[NEW] Máy Tính Bảng Honor Pad 10 8GB + 256GB, Snapdragon 7 Gen3, Màn Hình 12.1 Inch, Pin 10100 mAh, Bảo Hành 18 Tháng","12,0tr",48,HONOR Official Store,6%,₫719.340,https://shopee.vn/product/981287673/46603453557,https://s.shopee.vn/5fmLxqFRfV
28568663205,Tiankeplus Hít nam châm1.8M gậy chụp hình 4 chân Hợp kim nhôm chắc chắn - Camera AI nhận diện khuôn mặt và theo dõi 360,"560,0k",1k+,Tiankeplus Shop.VN,7%,₫39.200,https://shopee.vn/product/1384400819/28568663205,https://s.shopee.vn/5VSvlXG50U
